ID,Education,Income,Recency,NumWebVisitsMonth,Complain,Response,age,Living_With,Years_Since_Registration,Customer_Spent,Total_purcheses,Num_Children,Total_Accept_cmp,Clusters
5524.0,0,58138.0,58.0,7.0,0.0,1.0,67.0,0,12,1617.0,25.0,0.0,0.0,3
2174.0,0,46344.0,38.0,5.0,0.0,0.0,70.0,0,10,27.0,6.0,2.0,0.0,2
4141.0,0,71613.0,26.0,4.0,0.0,0.0,59.0,1,11,776.0,21.0,0.0,0.0,1
6182.0,0,26646.0,26.0,6.0,0.0,0.0,40.0,1,10,53.0,8.0,1.0,0.0,2
5324.0,1,58293.0,94.0,5.0,0.0,0.0,43.0,1,10,422.0,19.0,1.0,0.0,2
7446.0,1,62513.0,16.0,6.0,0.0,0.0,57.0,1,11,716.0,22.0,1.0,0.0,4
965.0,0,55635.0,34.0,6.0,0.0,0.0,53.0,0,12,590.0,21.0,1.0,0.0,4
6177.0,1,33454.0,32.0,8.0,0.0,0.0,39.0,1,11,169.0,10.0,1.0,0.0,2
4855.0,1,30351.0,19.0,9.0,0.0,1.0,50.0,1,11,46.0,6.0,1.0,0.0,0
5899.0,1,5648.0,68.0,20.0,0.0,0.0,74.0,1,10,49.0,2.0,2.0,1.0,0
387.0,2,7500.0,59.0,8.0,0.0,0.0,48.0,1,12,61.0,6.0,0.0,0.0,0
8180.0,1,59354.0,53.0,6.0,0.0,0.0,72.0,0,11,310.0,15.0,2.0,0.0,4
2569.0,0,17323.0,38.0,8.0,0.0,0.0,37.0,1,12,46.0,5.0,0.0,0.0,0
2114.0,1,82800.0,23.0,3.0,0.0,1.0,78.0,0,12,1315.0,26.0,0.0,2.0,3
9736.0,0,41850.0,51.0,8.0,0.0,0.0,44.0,1,12,96.0,9.0,2.0,0.0,0
4939.0,0,37760.0,20.0,7.0,0.0,0.0,78.0,1,12,317.0,13.0,0.0,0.0,4
6565.0,1,76995.0,91.0,5.0,0.0,0.0,75.0,1,11,1782.0,26.0,1.0,1.0,1
2278.0,2,33812.0,86.0,6.0,0.0,0.0,39.0,0,12,133.0,8.0,1.0,0.0,0
9360.0,0,37040.0,41.0,8.0,0.0,0.0,42.0,1,12,316.0,12.0,0.0,0.0,0
1993.0,1,58607.0,63.0,8.0,0.0,0.0,75.0,1,12,972.0,17.0,1.0,1.0,4
4047.0,1,65324.0,0.0,4.0,0.0,0.0,70.0,1,10,544.0,20.0,1.0,0.0,1
1409.0,0,40689.0,69.0,8.0,0.0,0.0,73.0,1,11,444.0,20.0,1.0,0.0,4
7892.0,0,18589.0,89.0,7.0,0.0,0.0,55.0,0,11,75.0,8.0,0.0,0.0,2
2404.0,0,53359.0,4.0,7.0,0.0,0.0,48.0,1,11,257.0,14.0,2.0,0.0,2
9422.0,0,38360.0,26.0,3.0,0.0,0.0,35.0,1,11,131.0,9.0,1.0,0.0,2
1966.0,1,84618.0,96.0,2.0,0.0,0.0,59.0,1,11,1672.0,26.0,0.0,1.0,1
6864.0,1,10979.0,34.0,5.0,0.0,0.0,35.0,0,10,30.0,8.0,0.0,0.0,2
3033.0,1,38620.0,56.0,3.0,0.0,0.0,61.0,1,11,318.0,11.0,0.0,0.0,2
5710.0,0,40548.0,31.0,5.0,0.0,0.0,54.0,1,12,120.0,9.0,1.0,1.0,0
7373.0,1,46610.0,8.0,6.0,0.0,1.0,72.0,0,12,302.0,17.0,2.0,0.0,0
8755.0,1,68657.0,4.0,7.0,0.0,0.0,78.0,1,11,1196.0,18.0,0.0,0.0,1
10738.0,1,49389.0,55.0,7.0,0.0,0.0,73.0,0,11,65.0,6.0,2.0,0.0,2
4339.0,1,67353.0,37.0,2.0,0.0,0.0,54.0,1,11,913.0,28.0,1.0,0.0,1
10755.0,2,23718.0,76.0,7.0,0.0,0.0,48.0,1,11,81.0,9.0,1.0,0.0,2
8595.0,0,42429.0,99.0,5.0,0.0,0.0,51.0,0,10,67.0,7.0,1.0,0.0,2
2968.0,1,48948.0,53.0,6.0,0.0,1.0,81.0,0,11,902.0,24.0,0.0,1.0,3
